id,title,sub_title,science_name,plant_family,plant_function,dosage_usage,image_url
21,ĐỊA HOÀNG,Sinh địa hoàng.,Rehmannia glutinosa (Gaertn.) Libosch.ex Steud.,Hoa mõm chó (Scrophulariaceae),"Bổ âm, thanh nhiệt lương huyết, sinh tân dịch. Chữa âm hư, sốt về chiều, khát nước, thiếu máu, suy nhược cơ thể, tân dịch khô, phiền táo mất ngủ.","Ngày dùng 8 - 16g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-%C4%91%E1%BB%8Ba-ho%C3%A0ng.jpg
22,ĐỊA LIỀN,"Sơn nại, tam nại, thiền liền, sa khương",Kaempferia galanga L.,Gừng (Zingiberaceae),"Ôn trung, tán hàn, trừ thấp, tiêu thực. Chữa ngực bụng lạnh đau, tiêu chảy, ăn uống khó tiêu, đau dạ dày, nôn mửa, đau nhức xương khớp.","Ngày dùng 4 - 8g, sắc uống. Dùng ngoài ngâm rượu để xoa bóp.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-%C4%91%E1%BB%8Ba-li%E1%BB%81n.jpg
23,DIỆP HẠ CHÂU,"Diệp hạ châu đắng, Cây chó đẻ răng cưa",Phyllanthus urinaria L.,Thầu dầu (Euphorbiaceae).,"Tiêu độc, sát trùng, lợi mật, thanh can, tiêu viêm tán ứ, lợi thủy. Chữa viêm gan hoàng đảm, viêm họng, tắc sữa, kinh bế, viêm da thần kinh, viêm thận, sỏi tiết niệu, mụn nhọt, lở ngứa ngoài da.","Ngày dùng 8 - 20g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-di%E1%BB%87p-h%E1%BA%A1-ch%C3%A2u.jpg
24,ĐINH LĂNG,"Cây gỏi cá, nam dương sâm",Polyscias fruticosa (L.) Harms,Nhân sâm (Araliaceae),"Bổ khí, tiêu thực, lợi sữa, tiêu viêm, giải độc. Rễ Đinh lăng chữa suy nhược cơ thể, gầy yếu, mệt mỏi, ngủ ít, tiêu hóa kém, phụ nữ sau đẻ ít sữa. Lá chữa cảm sốt, mụn nhọt, giã đắp sưng tấy, sưng vú. Thân, cành chữa thấp khớp, đau lưng.","Rễ: Ngày dùng 3 - 6g, hãm, hoặc đun sôi trong 15 phút, chia 2 - 3 lần uống; Lá tươi: ngày dùng 30 - 50g, giã đắp; Thân, cành: ngày dùng 30 - 50g, sắc uống.",https://yte123.com/wp-content/uploads/2018/04/cay-dinh-lang.jpg
25,ĐƠN LÁ ĐỎ,"Đơn đỏ, Đơn tía, Đơn mặt trời.",Excoecaria cochichinensis Lour.,"Thầu dầu (Euphorbiaceae). Cây được trồng làm thuốc, làm cảnh ở nhiều địa phương nước ta.","Thanh nhiệt giải độc, hoạt huyết, giảm đau, lợi tiểu. Chữa cảm sốt, đau nhức xương khớp, kinh nguyệt không đều, áp xe vú, dị ứng, mụn nhọt, lở ngứa, ỉa chảy lâu ngày.","Ngày dùng 6 - 12g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-d%E1%BB%ABa-c%E1%BA%A1n.jpg
26,DỪA CẠN,"Hải Đằng, Dương giác, trường xuân hoa",Catharanthus roseus (L.) G. Don,Trúc đào (Apocynaceae).,"Hoạt huyết, bình can, tiêu thũng, giải độc, an thần. Chữa tăng huyết áp, kinh nguyệt không đều, lỵ, bí tiểu.","Ngày dùng 8 - 12g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-%C4%91%C6%A1n-l%C3%A1-%C4%91%E1%BB%8F.jpg
27,GAI," Gai làm bánh, gai tuyết, trư ma.",Boehmeria nivea (L.) Gaudich.,Gai (Urticaceae),"Rễ có tác dụng chỉ huyết, an thai, thanh nhiệt, giải độc. Chữa động thai, chảy máu dọa sẩy, đái đục, đái ra máu. Lá có tác dụng lương huyết, chỉ huyết, dùng trị chảy máu, làm lành vết thương.","Rễ: Ngày dùng 6 - 20g (tươi) hay 8 - 12g (khô), đun sôi với 400ml nước đến khi còn lại 100 ml, uống 1 lần trong ngày. Lá: dùng ngoài lượng vừa đủ, giã đắp vào vết thương.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-gai-1.jpg
28,GỪNG,Khương, Zingiber officinale Rosc.,Gừng (Zingiberaceae),"Gừng khô (Can khương) Ôn trung, trục hàn, hồi dương, thông mạch. Gừng tươi chữa cảm mạo phong hàn, nhức đầu, ngạt mũi, ho có đờm, nôn mửa, bụng đầy trướng, kích thích tiêu hóa, sát trùng, hành thủy, giải độc ngứa do bán hạ, cua, cá. Bào khương chữa đau bụng, lạnh bụng, đi ngoài. Gừng khô và tiêu khương (gừng nướng) chữa đau bụng do lạnh, bụng đầy trướng không tiêu, thổ tả, chân tay giá lạnh, mạch nhỏ, đàm ẩm, ho suyễn và thấp khớp. Thán khương thường dùng chỉ huyết.","Gừng tươi, Bào khương: Ngày dùng 4 - 8g, sắc uống; Gừng khô và Tiêu khương: Ngày dùng 4 - 20g, dùng dạng thuốc sắc hoặc hoàn tán; Thán khương: Ngày dùng 4 - 8g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-g%E1%BB%ABng.jpg
29,HẠ KHÔ THẢO,None,Prunella vulgaris L.,Bạc hà (Lamiaceae).,"Thanh nhiệt giáng hỏa, minh mục, tán kết, tiêu sưng. Chữa lao hạch, bướu cổ, áp xe vú, đau mắt, viêm tử cung, viêm gan, cao huyết áp, ngứa, hắc lào, vẩy nến.","Ngày 9 - 15 g, dạng thuốc sắc.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-h%E1%BA%A1-kh%C3%B4-th%E1%BA%A3o.jpg
30,HOẮC HƯƠNG,"Thổ Hoắc hương, Quảng Hoắc hương",Pogostemon cablin (Blanco) Benth.,Bạc hà (Lamiaceae).,"Giải thử, hóa thấp, chỉ nôn. Chữa cảm mạo, nhức đầu, đau mình mẩy, sổ mũi, đau bụng tiêu chảy, ăn uống không tiêu vào mùa hè.",None,https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-ho%E1%BA%AFc-h%C6%B0%C6%A1ng.jpg
31,HÚNG CHANH,"Dương tử tô, Rau thơm lông.",Plectranthus amboinicus (Lour.) Spreng.,Bạc hà (Lamiaceae).,"Ổn phế, trừ đàm, tân ôn giải biểu, giải độc. Chữa cảm cúm, sốt nóng về chiều, chữa ho, viêm họng, khản tiếng, chữa thổ huyết, chảy máu cam, táo bón. Dùng ngoài giã đắp lên những vết do rết và bọ cạp cắn.",None,https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-h%C3%BAng-chanh.jpg
32,HƯƠNG NHU TÍA,É tía,Ocimum tenuiflorum L,Bạc hà (Lamiaceae).,"Phát hãn, thanh thử, tán thấp, hành thủy, giảm đau. Chữa sốt cao, say nắng, nhức đầu, đau bụng, đi ngoài, nôn mửa, phù thũng.","Ngày dùng: 6 - 12g, sắc hoặc hãm uống. Có thể dùng Hương nhu trắng để thay thế.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-h%C6%B0%C6%A1ng-nhu-t%C3%ADa.jpg
33,HUYẾT DỤ,None,Cordyline fruticosa (L.) Goepp.,Huyết giác (Dracaenaceae),"Thanh nhiệt, cầm máu, tan huyết, giảm đau. Chữa rong huyết, băng huyết, đái ra máu, sốt xuất huyết. Lá chữa vết thương.","Ngày dùng: 8 - 16g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-huy%E1%BA%BFt-d%E1%BB%A5.jpg
34,HY THIÊM,"Cỏ đĩ, Cây cứt lợn, Hy tiên.",Siegesbeckia orientalis L.,Cúc (Asteraceae).,"Trừ phong thấp, thanh nhiệt, giải độc. Chữa đau lưng, mỏi gối, đau xương khớp, chân tay tê buốt, mụn nhọt.","Ngày dùng: 9 - 12g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-hy-thi%C3%AAm.jpg
35,ÍCH MẪU,"Cây chói đèn, sung uý",Leonurus japonicus Houtt,Bạc hà (Lamiaceae),"Hoạt huyết, điều kinh, khứ ứ, tiêu thũng. Chữa rối loạn kinh nguyệt, kinh bế, đau bụng kinh, khí hư bạch đới, rong kinh, rong huyết, phụ nữ sau đẻ huyết hôi không ra hết.","Ngày dùng: thân lá 6 - 12g, hạt: 4 - 9g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-%C3%ADch-m%E1%BA%ABu.jpg
36,KÉ ĐẦU NGỰA,Thương nhĩ,Xanthium strumarium L.,Cúc (Asteraceae),"Tiêu độc, sát trùng, tán phong thông khiếu, trừ thấp. Chữa phong hàn, đau đầu, chân tay co rút, đau khớp, mũi chảy nước hôi, mày đay, lở ngứa, tràng nhạc, mụn nhọt, mẩn ngứa.","Ngày dùng 6 - 12g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-k%C3%A9-%C4%91%E1%BA%A7u-ng%E1%BB%B1a.jpg
37,KHỔ SÂM CHO LÁ,"Khổ sâm Bắc bộ, cù đèn, co chạy đón (Thái)",Croton tonkinensis Gagnep.,Thầu dầu (Euphorbiaceae).,"Thanh nhiệt, giải độc, sát trùng. Chữa viêm loét dạ dày, tiêu hóa kém, mụn nhọt, lở loét ngoài da, viêm mũi.","Ngày dùng 15 - 20g, sắc uống. Dùng ngoài lấy nước sắc để rửa, chữa mụn nhọt, lở ngứa.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-kh%E1%BB%95-s%C3%A2m-cho-l%C3%A1.png
38,KIM NGÂN,"Dây nhẫn đông, chừa giang khằn (Thái), boóc kim ngằn (Tày)",Lonicera japonica Thunb.,Kim ngân (Caprifoliaceae),"Thanh nhiệt giải độc, tán phong nhiệt. Chữa mụn nhọt, mề đay, lở ngứa, nhiệt độc ban sởi, dị ứng, lỵ, cảm mạo phong nhiệt, ho do phế nhiệt, viêm mũi dị ứng.","Kim ngân được dùng riêng hay phối hợp với nhiều vị thuốc khác. Ngày dùng 4 - 6g (hoa) hay 15 - 30g (cành, lá), dùng dưới dạng thuốc sắc uống, thuốc hãm hoặc hoàn tán.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-kim-ng%C3%A2n-hoa-e1532269686635.jpg
39,KIM TIỀN THẢO,"Đồng tiền lông, mắt trâu, vảy rồng",Desmodium styracifolium (Osbeck) Merr.,Đậu (Fabaceae),"Thanh nhiệt, trừ thấp, lợi tiểu, thông lâm. Chữa sỏi đường tiết niệu, đái buốt, viêm gan vàng da, phù thũng.","Ngày dùng 15 - 30g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-kim-ti%E1%BB%81n-th%E1%BA%A3o.jpg
40,KINH GIỚI,"Khương giới, giả tô, nhả nát hom (Thái)",Elsholtzia ciliata (Thunb.) Hyland.,Bạc hà (Lamiaceae),"Giải biểu, khu phong, chỉ ngứa. Chữa cảm mạo, sốt, nhức đầu, hoa mắt, viêm họng, ngứa, phong trúng kinh lạc.","Ngày dùng 6 - 12g (dạng khô), sắc hoặc hãm uống. Khi sao đen được dùng chữa băng huyết, rong kinh, thổ huyết, chảy máu cam, đại tiện ra máu, ngày dùng: 6 - 12g, sắc hoặc hãm uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-kinh-gi%E1%BB%9Bi.jpg
41,LÁ LỐT,Tất bát,Piper lolot C. DC.,Hồ tiêu (Piperaceae),"Ôn trung, tán hàn, hạ khí, chỉ thống, trừ phong thấp, kiện vị, tiêu thực, chỉ ẩu. Chữa chứng phong thấp, thấp khớp mạn, đau lưng, đau khớp, đau nhức xương, tay chân tê bại, rối loạn tiêu hóa, nôn mửa đầy hơi, trướng bụng, tiêu chảy, đau đầu, đau nhức răng, chảy nước mũi hôi, ra mồ hôi chân tay.","Ngày dùng 8 - 12g (khô) hay 15 - 30g (tươi), sắc uống, chia 2 -3 lần.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-l%C3%A1-l%E1%BB%91t.jpg
42,MÃ ĐỀ,"Xa tiền, bông mã đề",Plantago major L.,Mã đề (Plantaginaceae),"Thanh thấp nhiệt, lợi tiểu, thông lâm, chỉ huyết. Chữa ho lâu ngày, viêm khí quản, viêm thận và bàng quang, đau dạ dầy, bí tiểu tiện, tiểu tiện ra máu hoặc ra sỏi tiết niệu, phù thũng, chảy máu cam. Dùng ngoài lá mã đề có tác dụng làm mụn nhọt chóng vỡ, mau lành.","Ngày dùng 10 - 20g (toàn cây) hay 6 - 12g (hạt), sắc uống. Dùng ngoài lấy lá mã đề lượng vừa đủ, giã nát đắp vào nơi có mụn.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-m%C3%A3-%C4%91%E1%BB%81.png
43,MẠCH MÔN,"Mạch môn đông, mạch đông, tóc tiên, cỏ lan",Ophiopogon japonicus (L.f) Ker-Gawl.,Mạch môn (Haemodoraceae),"Dưỡng vị, sinh tân, nhuận phế thanh tâm. Chữa phế nhiệt do âm hư, kho khan, ho lao, tân dịch hư tổn, tâm phiền mất ngủ, tiêu khát, táo bón.","Ngày dùng 6 - 12g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-m%E1%BA%A1ch-m%C3%B4n.jpg
44,MẦN TƯỚI,"Lan thảo, hương thảo.",Eupatorium fortunei Turcz.,Cúc (Asteraceae)," Hoạt huyết, tán ứ, lợi thủy, tiêu thũng, sát trùng. Chữa kinh nguyệt không đều, phụ nữ sau sinh huyết ứ, phù thũng, mụn nhọt, lở ngứa ngoài da.","Ngày dùng 6 - 12g, sắc uống. Dùng ngoài cả cây, giã nát đắp vào mụn nhọt, lở ngứa.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-m%E1%BA%A7n-t%C6%B0%E1%BB%9Bi.jpg
45,MỎ QUẠ,"Hoàng lồ, Vàng lồ, Xuyên phá thạch.",Maclura cochinchinensis (Lour.) Corn.,Dâu tằm (Moraceae).,"Sát trùng, chỉ thống, chỉ ho. Chữa vết thương phần mềm, ho ra máu.","Lá tươi 100 - 200g, tùy theo vết thương, bỏ gân lá, giã nhỏ đắp vết thương.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-m%E1%BB%8F-qu%E1%BA%A1.jpg
46,MƠ TAM THỂ,Mơ lông,Paederia lanuginosa Wall.,Cà phê (Rubiaceae).,"Thanh nhiệt, giải độc. Chữa lỵ trực khuẩn.","Lá tươi 30 - 50g, lau sạch, thái nhỏ trộn với trứng gà, bọc vào lá chuối đem nướng hoặc áp chảo cho chín. Ngày ăn 2 - 3 lần, trong 5 - 8 ngày.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-mo-tam-th%E1%BB%83.jpg
47,NÁNG,"Lá náng, Náng hoa trắng",Crinum asiaticum L.,Thuỷ tiên (Amaryllidaceae).,"Hoạt huyết, giảm đau. Chữa sưng, tụ máu, bong gân, sai khớp do ngã, chữa thấp khớp, nhức mỏi.","Lá náng hơ nóng đắp vào chỗ tụ máu, bong gân, sưng tấy.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-n%C3%A1ng.jpg
